,S.no,State,Year ,Total Population,Male Population,Female Population,Total_Literacy in %,Males_Literacy in %,Females_Literacy in %,Total Literacy,Male Literacy,Female Literacy,Area in SQKM,Literacy Rate,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
0,1,Jammu and Kashmir,2001,10069917,5300574,4769343,54.46,65.75,41.82,5484077,3485127,1994539,"42,241",545,2001,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,19505
1,2,Himachal Pradesh,2001,6077248,3085256,2991992,77.13,86.02,68.08,4687381,2653937,2036948,"55,673",771,2001,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,11499
2,3,Punjab,2001,24289296,12963362,11325934,69.95,75.63,63.55,16990363,9804191,7197631,"50,362",700,2001,738,789,80,298,0,298,513,324,189,45,84,131,1902,3023,1204,1819,1,368,2621,58,63,3996,159,372,47,1128,0,2154,9204,27774
3,4,Chandigarh,2001,900914,508224,392690,81.76,85.65,76.65,736587,435294,300997,114,818,2001,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397
4,5,Uttaranchal,2001,8479562,4316401,4163161,72.28,84.01,60.26,6129027,3626208,2508721,20650,723,2001,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073
5,6,Haryana,2001,21082989,11327658,9755331,68.59,79.25,56.31,14460822,8977169,5493227,"44,212",686,2001,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,38759
6,7,Delhi,2001,13782976,7570890,6212086,81.82,87.37,75.0,11277231,6614687,4659065,1484,818,2001,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384
7,8,Rajasthan,2001,56473122,29381657,27091465,61.03,76.46,44.34,34465546,22465215,12012356,"342,239",610,2001,1259,1923,63,1049,0,1049,2718,2165,553,60,40,889,7284,16939,4324,12615,11214,1026,6644,89,1092,27485,376,2878,56,5532,1,4221,62347,155185
8,9,Uttar Pradesh,2001,166052859,87466301,78586558,57.36,70.23,42.98,95247920,61427583,33776503,"240,928",574,2001,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129
9,10,Bihar,2001,82878796,43153964,39724832,47.53,60.32,33.57,39392292,26030471,13335626,"94,163",475,2001,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432
10,11,Sikkim,2001,540493,288217,252276,69.68,76.73,61.46,376616,221149,155049,"7,096",697,2001,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444
11,12,Arunachal Pradesh,2001,1091117,573951,517166,54.74,64.07,44.24,597277,367730,228794,"83,743",547,2001,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342
12,13,Nagaland,2001,1988636,1041686,946950,67.11,71.77,61.92,1334574,747618,586351,"16,579",671,2001,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1234
13,14,Manipur,2001,2388634,1207338,1181296,68.87,77.87,59.7,1645052,940154,705234,"22,327",689,2001,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,2489
14,15,Mizoram,2001,891058,459783,431275,88.49,90.69,86.13,788497,416977,371457,"21,081",885,2001,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,2246
15,16,Tripura,2001,3191168,1636138,1555030,73.66,81.47,65.41,2350614,1332962,1017145,"10,491",737,2001,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2801
16,17,Meghalaya,2001,2306069,1167840,1138229,63.31,66.14,60.41,1459972,772409,687604,"22,429",633,2001,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,1687
17,18,Assam,2001,26638407,13787799,12850608,64.28,71.93,56.03,17123168,9917564,7200196,"78,438",643,2001,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877
18,19,West Bengal,2001,80221171,41487694,38733477,69.22,77.58,60.22,55529095,32186153,23325300,"88,752",692,2001,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563
19,20,Jharkhand,2001,26909428,13861277,13048151,54.13,67.94,39.38,14566073,9417352,5138362,"79,716",541,2001,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,25447
